relations,algorithm_mix,min_ms,p10_ms,median_ms,p90_ms,max_ms,median_candidate_operators
10,DpHyp=10,0.156709,0.2087956,0.3288125,0.47333329999999996,0.564083,445.0
20,DpHyp=7; LinearizedDp=3,1.917833,2.0922458,27.9165835,42.41461219999999,60.360875,47843.5
30,LinearizedDp=10,2.699459,2.7078587,2.8189789999999997,2.9774791,3.054916,52.0
40,LinearizedDp=10,3.460375,3.5123878,3.6838125,3.7503332999999994,3.881583,62.0
70,LinearizedDp=10,6.587,6.78815,8.0295,8.9583628,9.1525,95.0
100,LinearizedDp=10,12.864042,13.1294664,13.4866875,14.0125253,14.387,125.0
128,GooDp=10,110.3715,112.4218125,113.86685399999999,116.1318167,116.608292,10778.0
192,GooDp=10,608.215709,627.4756712000001,638.9235,661.9242872000001,664.07375,22838.5
256,GooDp=10,2247.534,2267.1453744,2339.4526875,2388.0132961,2407.145083,38570.5
